Object Name,Institution,UID,Object metadata link,Permanent Object URL (item landing page),Image id,Image URL,Collections Page URL,Description
Turquoise Mosaic Snake,BM,ESA6789,http://collection.britishmuseum.org/id/object/ESA6789&format=json,http://collection.britishmuseum.org/id/object/ESA6789,,http://www.britishmuseum.org/collectionimages/AN00480/AN00480477_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=663692&partId=1&searchText=turquoise+mosaic&page=1,"Pectoral, in the form of a double-headed serpent. Made of cedro wood (Cedrela odorata) and covered with mosaic made of turquoise and red thorny oyster shell (Spondylus princeps). The teeth in the two open mouths are made from conch shell (Strombus). Two resins are used as adhesive: pine resin and Bursera resin (copal). In the mouths the resin is coloured red with hematite. Beeswax adhesive survives around the eye sockets."
Lewis Chessman,BM,MCM865,http://collection.britishmuseum.org/id/object/MCM865&format=json,http://collection.britishmuseum.org/id/object/MCM865,,http://www.britishmuseum.org/collectionimages/AN00285/AN00285974_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=408&partId=1&searchText=lewis+chessmen&page=1,"Chess-piece; walrus ivory; queen wearing floriated crown, veil, mantle and tunic; right hand placed on cheek; seated in chair ornamented on back with adjacent leaf scrolls; cloth hanging over top of back of chair."
Bolivian Mask,BM,ESA31630,http://collection.britishmuseum.org/id/object/ESA31630&format=json,http://collection.britishmuseum.org/id/object/ESA31630,,http://www.britishmuseum.org/collectionimages/AN00841/AN00841276_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=642350&partId=1&searchText=africa+mask&page=1,"Mask (""caporal"") made of plaster."
Islamic Seal,BM,RRM33131,http://collection.britishmuseum.org/id/object/RRM33131&format=json,http://collection.britishmuseum.org/id/object/RRM33131,,http://www.britishmuseum.org/collectionimages/AN00011/AN00011200_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=1354429&partId=1&searchText=iran&page=2,Seal.
Coptic Stela,BM,YCA56150,http://collection.britishmuseum.org/id/object/YCA56150&format=json,http://collection.britishmuseum.org/id/object/YCA56150,,http://www.britishmuseum.org/collectionimages/AN00145/AN00145659_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=124198&partId=1&searchText=coptic+cross&page=1,Rectangular limestone stela bearing a relief cross; front surface covered with twenty-one lines of incised Coptic text.
Ethiopian Processional Cross,BM,EAF60499,http://collection.britishmuseum.org/id/object/EAF60499&format=json,http://collection.britishmuseum.org/id/object/EAF60499,,http://www.britishmuseum.org/collectionimages/AN00467/AN00467111_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=578962&partId=1&searchText=throne+of+guns&page=1,
Qing Dynasty Figure,BM,RRC3604,http://collection.britishmuseum.org/id/object/RRC3604&format=json,http://collection.britishmuseum.org/id/object/RRC3604,,http://www.britishmuseum.org/collectionimages/AN00236/AN00236565_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=262917&partId=1&searchText=throne&images=true&page=1,Figure (on throne). Made of painted bronze.
Painting of Gauri,BM,RFI83,http://collection.britishmuseum.org/id/object/RFI83&format=json,http://collection.britishmuseum.org/id/object/RFI83,,http://www.britishmuseum.org/collectionimages/AN00287/AN00287726_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=182875&partId=1&searchText=throne&page=5,"Watercolour painting on paper of Gauri, a benevolent goddess and consort of Śiva or Varuna. She is shown seated on a golden throne with a bolster at her back. She wears a crown and large amounts of jewellery. She has two arms, with her right hand she gestures and with her left hand she holds a lotus flower. The throne is decorated with floral pattern and is placed on a terrace with a decorated floor. Behind the terrace, foliage gives a suggestion of a distant landscape. A snake rises up on to the throne from the floor. The painting is surrounded by a black border."
Ceremonial Japanese Doll,BM,JCR10633,http://collection.britishmuseum.org/id/object/JCR10633&format=json,http://collection.britishmuseum.org/id/object/JCR10633,,http://www.britishmuseum.org/collectionimages/AN01122/AN01122525_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=3106&partId=1&searchText=japan+sword&images=true&page=1,Doll. Musician with sword. Made of textile.
Bronze aegis of Isis,BM,YCA69136,http://collection.britishmuseum.org/id/object/YCA69136&format=json,http://collection.britishmuseum.org/id/object/YCA69136,,http://www.britishmuseum.org/collectionimages/AN00422/AN00422054_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=111580&partId=1&searchText=egypt+isis&page=1,Bronze aegis of Isis; inlaid eyes(now lost); tang on top of head for headdress.
Qajar Dynasty Finger Ring,BM,RRM189762,http://collection.britishmuseum.org/id/object/RRM189762&format=json,http://collection.britishmuseum.org/id/object/RRM189762,,http://www.britishmuseum.org/collectionimages/AN01176/AN01176599_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=3322224&partId=1&searchText=persia+ring&images=true&page=1,"Finger-ring made of silver, enamel."
Jericho Skull,BM,WCO23164,http://collection.britishmuseum.org/id/object/WCO23164&format=json,http://collection.britishmuseum.org/id/object/WCO23164,,http://www.britishmuseum.org/collectionimages/AN00141/AN00141308_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=283002&partId=1&searchText=jericho+skull&page=1,"""Jericho skull""; a plastered human skull; the skull was taken as the base and the features of the face were modelled on it in plaster. One eye is made from a bivalve shell divided in two. The other has one, smaller, complete shell in place and is missing its twin."
"Squid Beak (Architeuthis dux Steenstrup, 1857)",NHM,e865b75e-2047-4909-91be-ced250750da4,,http://data.nhm.ac.uk/object/e865b75e-2047-4909-91be-ced250750da4,,http://www.nhm.ac.uk/services/media-store/asset/16f378c9711b6124d2cd4c81db1866374fc8afcc/contents/preview,,
Angler fish,NHM,8fb3572c-33b1-4a45-864b-13f4542b8f1a,,http://data.nhm.ac.uk/object/8fb3572c-33b1-4a45-864b-13f4542b8f1a,,http://www.nhm.ac.uk/services/media-store/asset/fb857d92d6e82c4f12491f7e04552a7df5fc36be/contents/preview,,
Hawk moth,NHM,e865b75e-2047-4909-91be-ced250750da4,,http://data.nhm.ac.uk/object/e865b75e-2047-4909-91be-ced250750da4,,http://www.nhm.ac.uk/services/media-store/asset/15565b52ce56b3a94bf6958161bc27246ece8d38/contents/preview,,
Stag Beetle,NHM,291cf2f4-c2c9-4c3a-adb3-46adc8c07a8d,,http://data.nhm.ac.uk/object/291cf2f4-c2c9-4c3a-adb3-46adc8c07a8d,,http://www.nhm.ac.uk/services/media-store/asset/f5b98ccabad17463331695846b7fe0e23914f50e/contents/preview,,
Shiny Bee,NHM,9c012f49-a825-4ca7-9cf4-d12102fc8035,,http://data.nhm.ac.uk/object/9c012f49-a825-4ca7-9cf4-d12102fc8035,,http://www.nhm.ac.uk/services/media-store/asset/089b2655437b8a3151a2337c59842d406f6551cc/contents/preview,,
Shiny Fly,NHM,1621bf34-e732-4514-9572-80ee82326678,,http://data.nhm.ac.uk/object/1621bf34-e732-4514-9572-80ee82326678,,http://www.nhm.ac.uk/services/media-store/asset/8cb9b13c4cfd2feb4f64676eeb087e9f9780f752/contents/preview,,
Gold Nugget,NHM,b9e4603f-8a20-45bb-9573-2fbc47d0701f,,http://data.nhm.ac.uk/object/b9e4603f-8a20-45bb-9573-2fbc47d0701f,,http://www.nhm.ac.uk/services/media-store/asset/8cad735d006cb2c9b3f4d7aa0ddfcd59478beda6/contents/preview,,
Diamond,NHM,7563b3dd-c3a2-49e7-99fd-dfa210100ff6,,http://data.nhm.ac.uk/object/7563b3dd-c3a2-49e7-99fd-dfa210100ff6,,http://www.nhm.ac.uk/services/media-store/asset/50002ee1522ea958aeebfd7df3ac8691819ca1b3/contents/preview,,
Dinosaur Skull,NHM,d9ee4472-a4e8-4818-9053-31f0c5521c12,,http://data.nhm.ac.uk/object/d9ee4472-a4e8-4818-9053-31f0c5521c12,,http://www.nhm.ac.uk/services/media-store/asset/1ab97c27f79bb2a1aae868c53560898c82ee0d43/contents/preview,,
Trilobites,NHM,8702a46e-fca7-438c-b9f1-65d71817d096,,http://data.nhm.ac.uk/object/8702a46e-fca7-438c-b9f1-65d71817d096,,http://www.nhm.ac.uk/services/media-store/asset/97d9c28f928c7c4c9b5c273401e0ce84fed39712/contents/preview,,
Temnospondyl amphibian,NHM,2dc1b869-3655-4daf-a0fc-7eb83e7e8d4d,,http://data.nhm.ac.uk/object/2dc1b869-3655-4daf-a0fc-7eb83e7e8d4d,,http://www.nhm.ac.uk/services/media-store/asset/f2a88555d7a87cd92e4d7a6d390a5d382465c729/contents/preview,,
Pretty Shell,NHM,8bbcd60d-d0fa-40bc-aa54-648bdcb8321f,,http://data.nhm.ac.uk/object/8bbcd60d-d0fa-40bc-aa54-648bdcb8321f,,http://www.nhm.ac.uk/services/media-store/asset/08179ee12bdade8849c98693041d145cb61bfb04/contents/preview,,
Nice Fern,NHM,8fc8b663-df07-49ab-96a6-bd5f6605c209,,http://data.nhm.ac.uk/object/8fc8b663-df07-49ab-96a6-bd5f6605c209,,http://www.nhm.ac.uk/services/media-store/asset/2f4c8fa17cf95a854bebe7ae1d11d409921f7126/contents/preview,,
Difflugia pyriformis,NHM,a443a04d-c4d5-4d09-898d-c2b9a3e97a45,,http://data.nhm.ac.uk/dataset/collection-artefacts/resource/ec61d82a-748d-4b53-8e99-3e708e76bc4d/record/66,,http://www.nhm.ac.uk/services/media-store/asset/04114a1bcb363cf39b3724569351eb7cb352e887/contents/preview,,
Octopus,NHM,d8a7c134-5695-4e0e-8bc6-860b25e9cedd,http://data.nhm.ac.uk/api/action/datastore_search?resource_id=ec61d82a-748d-4b53-8e99-3e708e76bc4d&q=d8a7c134-5695-4e0e-8bc6-860b25e9cedd,http://data.nhm.ac.uk/dataset/collection-artefacts/resource/ec61d82a-748d-4b53-8e99-3e708e76bc4d/record/72,,http://www.nhm.ac.uk/services/media-store/asset/8e2eab7f0009e99fdfa4fdb75ceff3734cfded69/contents/preview,,
Meteorite,NHM,525e24f3-4b70-4b2a-a478-e46a8babf9c3,,http://data.nhm.ac.uk/object/525e24f3-4b70-4b2a-a478-e46a8babf9c3,,http://www.nhm.ac.uk/services/media-store/asset/f01bd660d0142ea46b5fdc6c4c62c45b480611e9/contents/preview,,
Lucilia Caesar,NHM,1621bf34-e732-4514-9572-80ee82326678,,http://data.nhm.ac.uk/object/1621bf34-e732-4514-9572-80ee82326678,,http://www.nhm.ac.uk/services/media-store/asset/8cb9b13c4cfd2feb4f64676eeb087e9f9780f752/contents/preview,,
Small Copper Butterfly,NHM,98b4dbb9-f065-4f02-a8ed-e5d9d6d62b27,,http://data.nhm.ac.uk/object/98b4dbb9-f065-4f02-a8ed-e5d9d6d62b27,,http://www.nhm.ac.uk/services/media-store/asset/9b8c1f56e4b31131e0ba9f8c8a02b7013ed25459/contents/preview,,
Shiny Wasp,NHM,0e6fa0b9-7179-42f2-9ca2-59424961928d,,http://data.nhm.ac.uk/object/0e6fa0b9-7179-42f2-9ca2-59424961928d,,http://www.nhm.ac.uk/services/media-store/asset/8e28cad074f64926408a65eb1f466b7b3505ab5c/contents/preview,,
Marphysa fauchaldi,NHM,737f618f-4907-408f-92a0-5a3b2767516f,,http://data.nhm.ac.uk/object/737f618f-4907-408f-92a0-5a3b2767516f,,http://www.nhm.ac.uk/services/media-store/asset/d3e41dce8211ec63f09ffd750f21170a26e90829/contents/preview,,
Ammonite filled with agate,NHM,06a8c473-19c5-49b8-a4c5-0ab5b39b460f,,http://data.nhm.ac.uk/object/06a8c473-19c5-49b8-a4c5-0ab5b39b460f,,http://www.nhm.ac.uk/services/media-store/asset/8dbc47de4abbb136ce9cc75b73d5cb5d43255390/contents/preview,,
Scorpion,NHM,a90a72b7-0ddc-46b1-8d9a-726597f4bcc0,,http://data.nhm.ac.uk/object/a90a72b7-0ddc-46b1-8d9a-726597f4bcc0,,http://www.nhm.ac.uk/services/media-store/asset/e880bbff4ec594d4ec30b86d1b3d22de94e0639b/contents/preview,,
"Porzana palmeri (Frohawk, 1892)",NHM,fd62452f-b91c-4eb1-b7ee-306ecdf4789c,,http://data.nhm.ac.uk/object/fd62452f-b91c-4eb1-b7ee-306ecdf4789c,,http://www.nhm.ac.uk/services/media-store/asset/2612d5eda06d1b68647c5c49d536f63a6b5d3686/contents/preview,,
Fossil Coral,NHM,79237398-55ce-4e62-821f-81aec5af09ad,,http://data.nhm.ac.uk/object/79237398-55ce-4e62-821f-81aec5af09ad,,http://www.nhm.ac.uk/services/media-store/asset/71acc13cf1b6f2cf75998d289ef4f356e364fabe/contents/preview,,
Phonograph,SM,co8413764,http://collection.sciencemuseum.org.uk/api/objects/co8413764,http://collection.sciencemuseum.org.uk/objects/co8413764/phonograph-phonograph,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_cd0286_021_070420_2006_24_Edison_standard_phonograph.jpg,,Edison-type phonograph with loudspeaker and crank Photographed on a white background.
Penny Farthing bicycle,SM,co8421051,http://collection.sciencemuseum.org.uk/api/objects/co8421051,http://collection.sciencemuseum.org.uk/objects/co8421051/penny-farthing-bicycle-bicycle,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_cd0497_008_090130_2005_19_2_Ordinary_penny_farthing_bicycle.jpg,,"High Ordinary (Penny Farthing) bicycle made by William Harrison, Manchester, about 1885"
artificial arm,SM,co8087297,http://collection.sciencemuseum.org.uk/api/objects/co8087297,http://collection.sciencemuseum.org.uk/objects/co8087297/artificial-left-arm-europe-1850-1910-artificial-arm,,http://smgco-images.s3.amazonaws.com/media/S/O/O/medium_a602817__0003_.jpg,,"Artificial arm, steel with brass wrist mountings, leather top piece, European, 1840-1940.

Made from steel and brass, this unusual prosthetic arm articulates in a number of ways. The elbow joint can be moved by releasing a spring, whereas the top joint of the wrist allows a degree of rotation and an up-and-down motion. The fingers can also curl up and straighten out.

The leather upper arm piece is used to fix the prosthesis to the remaining upper arm. The rather sinister appearance of the hand suggests the wearer may have disguised it with a glove. Among the most common causes of amputation throughout the 1800s were injuries received as a result of warfare."
Merman,SM,co143774,http://collection.sciencemuseum.org.uk/api/objects/co143774,http://collection.sciencemuseum.org.uk/objects/co143774/merman-javanese-or-dutch-1801-1900-human-remains-chimera,,http://smgco-images.s3.amazonaws.com/media/S/O/W/medium_A104048__0002_.jpg,,"Dried merman, possibly Dutch or Japanese, possibly a Javanese ritual figure, possibly 1801-1900.

Dried merman, possibly a Javanese ritual figure, although originally provenenced as either Dutch or Japanese, probably 19th century"
MRI Jedi Helmet,SM,co8091205,http://collection.sciencemuseum.org.uk/api/objects/co8091205,http://collection.sciencemuseum.org.uk/objects/co8091205/jedi-helmet-used-with-cryogenic-magnetic-resonance-imaging-machine-component-object-jedi-helmet,,http://smgco-images.s3.amazonaws.com/media/S/O/O/medium_1993_1003_0002_0001.jpg,,"One of five 'Jedi helmets,' silver inner helmet, used with Cryogenic Magnetic Resonance Imaging Machine and associated computing equipment by Data General, United States, 1980.

To take MRI (Magnetic Resonance Imaging) scans of the brain, these helmets were worn by children and adults. The coils are aerials for picking up MRI signals. Naming them after the Jedi knights in Star Wars films encouraged children to put them on and not to be frightened.

MRI builds up a picture of the human body by using high frequency radio waves known as NMR (Nuclear Magnetic Resonance). MRI does not expose the body to radiation or invasive surgery and it can image soft tissues more effectively than X-ray-based methods."
Male Wax Model,SM,co77701,http://collection.sciencemuseum.org.uk/api/objects/co77701,http://collection.sciencemuseum.org.uk/objects/co77701/coloured-wax-model-of-a-male-half-skeletal-half-living-and-dressed-in-regency-clothing-england-1810-1850-anatomical-figure,,http://smgco-images.s3.amazonaws.com/media/S/O/W/medium_A78827__0001_.jpg,,"Coloured wax model of male, half skeletal, half living and dressed in regency clothes, badly damaged, English, 1810-1850

This gentleman is dressed in Regency clothing typical of the first half of the 1800s. He is skilfully created out of wax. He is half man and half skeleton. The statue may have been made for one of three reasons: a darkly comic novelty, a ‘memento mori’ (a reminder of death), or a teaching aid.

He is paired with a separate female statue (A78828). These two examples of regency waxwork were exhibited in Montreal, Canada at the International and Universal Exposition in 1967."
Dried Frog in a Silk Bag,SM,co107872,http://collection.sciencemuseum.org.uk/api/objects/co107872,http://collection.sciencemuseum.org.uk/objects/co107872/dried-frog-in-a-silk-bag-south-devon-england-1901-1930-amulet-amphibian-remains,,http://smgco-images.s3.amazonaws.com/media/S/O/O/medium_a659966.jpg,,"Dried frog in silk bag, amuletic, used to cure fits, from South Devon, English, 1901-1930

The growing influence of biomedicine in the 1800s did not necessarily replace established forms of treatment based on belief and superstition. What could be referred to as folk medicine – customs that often went back generations – continued to be practised. For example, this dried frog carried in a silk bag was used to prevent fits. Alternatively, another amulet against fits involved wearing a live toad in a bag. Live frogs and toads were also bound on to wounds to help them heal and were placed on the throats of children with whooping cough. The dried frog was purchased in 1930 from Edward Lovett’s (1852-1933) collection of British amulets and charms. Lovett was interested in folk remedies nearly all his life and began collecting from the age of eight."
DNA Molecular Model,SM,co146411,http://collection.sciencemuseum.org.uk/api/objects/co146411,http://collection.sciencemuseum.org.uk/objects/co146411/crick-and-watsons-dna-molecular-model-molecular-model,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1977_0310__0028_.jpg,,"Reconstruction of the double helix model of DNA, using some of the original metal plates, by Francis Crick and James Watson, England, 1953

Reconstruction of the double helix model of DNA built by Francis Crick and James Watson in 1953 using some of the original metal plates (Inv No 1977-300)"
"Babbage's difference engine, model",SM,co62250,http://collection.sciencemuseum.org.uk/api/objects/co62250,http://collection.sciencemuseum.org.uk/objects/co62250/demonstration-model-of-babbages-difference-engine-no-1-19th-century-difference-engines,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1967_0070__0007_.jpg,,"Trial model for part of Babbage's difference engine, on board

This trial model for part of Babbage's Difference Engine No. 1 was built by Henry Prevost Babbage (1824-1918) from the designs of his father, British computing pioneer Charles Babbage (1791-1871). This was one of approximately six demonstration models of the calculating mechanism of Engine No. 1 built by Henry after his father's death, using unused parts from the original. Charles Babbage conceived the idea of building an automatic calculating machine which would eliminate the inaccuracy that occurred when compiling mathematical tables by hand. Never built during Charles Babbage's lifetime, it was a decimal digital machine - the value of a number being represented by the positions of toothed wheels marked with decimal numbers."
Computer Mouse Prototype,SM,co8359400,http://collection.sciencemuseum.org.uk/api/objects/co8359400,http://collection.sciencemuseum.org.uk/objects/co8359400,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_2013_0085__0003_.jpg,,"Replica of original computer mouse prototype designed by Douglas Englebert in 1963 and patented in 1970, made by the Stanford Research Institute, California, United States, 2011."
Cherry Editing Keyboard,SM,co34242,http://collection.sciencemuseum.org.uk/api/objects/co34242,http://collection.sciencemuseum.org.uk/objects/co34242,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1994_1169_0001__0004_.jpg,,"Editing Keyboard Type UB80-0023, by Cherry GmbH, possibly Germany, 1979-1994. Used with Deccafax Prestel terminal.

Prestel was the brand name for the Post Office's Viewdata system. Viewdata enabled subscribers to access information from a remote database. Users typed text commands to navigate through pages of information and communicated using 'Prestel Mailbox'. Viewdata was developed by Samuel Fedida, an engineer in the Post Office Research Department. Prestel itself was commercially launched in 1979, and achieved a maximum of 90,000 subscribers before it was eventually sold in 1994. This Prestel unit was used by the House Of Commons until 1994."
Replica Apollo 11 landing module,SM,co40350,http://collection.sciencemuseum.org.uk/api/objects/co40350,http://collection.sciencemuseum.org.uk/objects/co40350,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1977_0435__0001_.jpg,,Replica Apollo 11 lunar excursion module
Graphite rock sample,SM,co8415171,http://collection.sciencemuseum.org.uk/api/objects/co8415171,http://collection.sciencemuseum.org.uk/objects/co8415171,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_cd0649_053_110322_2011_25_1_Graphite_rock_sample_from_Keswick__Cumbria.jpg,,"Graphite rock sample from Keswick, Cumbria. Graphite rocks can yield graphene, which is hailed as a revolutionary material. In 2004 Andre Geim and Konstantin Novoselov found a reliable and cheap method for obtaining monolayer graphene flakes from graphite, using scotch tape. The graphene flakes can be used as transistors and were experimented with in hand-made circuits, then in more precisely made lithographically printed circuits. The pair were awarded the Nobel Prize for Physics in 2010."
